City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Charters Towers,1,AU,1570734069,95,-20.07,146.27,63.64,4.34
Avera,1,US,1570734069,39,33.19,-82.53,82.4,3.36
Loja,100,EC,1570734070,33,-4.0,-79.2,87.8,20.8
Tomaszow Lubelski,50,PL,1570734070,75,50.45,23.42,52.0,1.01
Saiha,100,IN,1570734072,98,22.49,92.98,64.36,2.61
Rocha,49,UY,1570734072,64,-34.48,-54.34,79.84,9.54
Leshukonskoye,100,RU,1570734073,97,64.9,45.76,33.4,8.11
Tashtyp,9,RU,1570734073,57,52.8,89.89,29.08,3.4
Sao Gabriel da Cachoeira,75,BR,1570734074,74,-0.13,-67.09,82.4,3.36
Half Moon Bay,1,US,1570734074,10,37.46,-122.43,73.0,13.87
Linjiang,98,CN,1570734074,94,41.81,126.91,47.62,3.11
Wattegama,100,LK,1570734075,97,7.35,80.68,73.0,1.79
Nago,71,IT,1570734075,93,45.88,10.89,62.01,3.36
Weligama,97,LK,1570734076,90,5.97,80.42,76.96,5.0
Tutoia,19,BR,1570734076,58,-2.76,-42.27,87.8,19.46
La Roche-sur-Yon,43,FR,1570734077,87,46.67,-1.43,60.8,2.24
Takoradi,49,GH,1570734077,87,4.89,-1.75,78.22,14.65
Port Blair,11,IN,1570734077,67,11.67,92.75,83.62,4.14
Lowestoft,20,GB,1570734078,71,52.48,1.75,57.99,9.17
Feni,97,BD,1570734079,92,23.02,91.41,73.36,3.7
Eston,40,CA,1570734079,42,51.15,-108.75,36.0,12.75
Ramapuram,20,IN,1570734079,83,13.03,80.18,84.0,4.7
Pasco,1,US,1570734080,48,46.24,-119.1,50.0,3.63
Kapuskasing,20,CA,1570734081,45,49.42,-82.43,64.4,11.41
Mocuba,77,MZ,1570734081,49,-16.84,36.99,84.34,7.13
Abtenau,75,AT,1570734082,93,47.56,13.35,51.01,8.05
Arona,43,IT,1570734082,93,45.76,8.56,61.0,3.36
Vestmannaeyjar,14,IS,1570734082,69,63.44,-20.27,45.28,24.67
Kaili,55,ID,1570734083,84,-3.46,120.21,58.06,3.21
Lingao,0,CN,1570734083,83,19.91,109.69,79.48,14.75
Sabang,0,PH,1570734084,94,13.8,121.11,71.02,1.72
Charleston,75,US,1570734084,68,32.79,-79.94,79.0,3.36
Qasigiannguit,20,GL,1570734084,46,68.82,-51.19,30.2,17.22
Sawakin,0,SD,1570734084,71,19.1,37.33,86.5,2.59
Nelidovo,100,RU,1570734085,98,56.22,32.78,44.38,5.22
Maniitsoq,20,GL,1570734085,57,65.42,-52.9,36.1,4.56
San Quintin,2,PH,1570734086,92,17.54,120.52,71.56,3.67
Kambja,97,EE,1570734086,93,58.23,26.7,46.4,5.82
Kirillov,100,RU,1570734086,96,59.86,38.38,39.34,6.41
Wawa,50,NG,1570734087,77,9.9,4.41,80.74,1.74
Goure,83,NE,1570734087,41,13.98,10.27,88.84,1.99
Aksay,47,KZ,1570734087,65,51.17,53.01,45.82,6.26
Nome,40,US,1570734088,46,30.04,-94.42,91.0,10.29
Pochutla,75,MX,1570734088,62,15.74,-96.47,89.01,7.45
Kenai,90,US,1570734089,93,60.55,-151.26,43.0,1.86
Klyuchi,0,RU,1570734089,51,52.25,79.17,48.7,7.17
Yashkul,0,RU,1570734090,53,46.17,45.34,54.28,11.87
Batemans Bay,100,AU,1570734090,93,-35.71,150.18,51.01,4.0
Den Helder,90,NL,1570734091,72,52.96,4.76,59.0,23.04
Cogoleto,85,IT,1570734091,82,44.39,8.64,64.99,5.82
Eydhafushi,100,MV,1570734092,73,5.1,73.07,82.36,9.03
Ust-Barguzin,58,RU,1570734092,79,53.41,109.03,24.04,2.21
Liptovsky Hradok,20,SK,1570734093,81,49.04,19.72,50.0,19.46
Fortuna,1,US,1570734093,17,40.6,-124.16,66.2,6.93
Varzea da Palma,64,BR,1570734093,33,-17.6,-44.73,87.76,7.41
Oda,0,JP,1570734094,80,35.19,132.5,57.16,2.06
Kirakira,61,SB,1570734094,86,-10.46,161.92,75.16,5.35
Erzin,84,TR,1570734095,83,36.95,36.2,78.01,3.36
Yining,31,CN,1570734095,86,29.04,114.56,68.68,2.12
Barcelona,75,ES,1570734095,72,41.38,2.18,70.0,5.82
Kununurra,68,AU,1570734096,63,-15.77,128.74,64.4,2.24
Kholm,90,AF,1570734096,16,36.69,67.7,75.0,8.01
Tazovskiy,100,RU,1570734096,74,67.47,78.7,35.92,23.29
Koutiala,25,ML,1570734097,35,12.39,-5.46,88.84,3.36
Lebu,52,ET,1570734097,91,8.96,38.73,53.2,3.94
Zalari,24,RU,1570734098,62,53.57,102.52,23.32,1.99
Tahe,22,CN,1570734098,69,52.34,124.71,20.98,9.77
Mandalgovi,86,MN,1570734099,52,45.76,106.27,34.12,9.62
Vorokhta,75,UA,1570734099,71,48.29,24.56,51.8,4.47
Altay,0,CN,1570734099,51,47.83,88.13,37.9,1.92
Tabas,0,IR,1570734101,21,33.6,56.92,78.8,6.93
Ahuimanu,75,US,1570734101,83,21.44,-157.84,86.0,5.05
Murgab,0,TM,1570734102,56,37.5,61.97,68.0,9.17
Thinadhoo,99,MV,1570734102,79,0.53,72.93,82.36,13.85
Nenjiang,0,CN,1570734102,38,49.17,125.23,28.9,6.6
Elizabeth City,90,US,1570734102,72,36.3,-76.22,70.0,9.17
Lao Cai,31,VN,1570734103,95,22.48,103.95,69.22,1.2
Teguise,75,ES,1570734103,83,29.06,-13.56,73.4,8.05
Nabire,100,ID,1570734103,97,-3.36,135.5,71.38,2.05
Namtsy,98,RU,1570734104,92,62.72,129.66,19.0,6.21
Lakatoro,97,VU,1570734104,100,-16.11,167.42,77.0,5.82
Caravelas,10,BR,1570734104,58,-17.73,-39.27,81.28,13.01
Sibolga,100,ID,1570734104,98,1.74,98.78,71.2,1.22
Isangel,20,VU,1570734105,100,-19.55,169.27,60.8,4.44
Pergamino,51,AR,1570734105,45,-33.9,-60.57,91.0,8.01
Atibaia,20,BR,1570734106,51,-23.12,-46.55,86.0,8.05
Phalombe,99,MW,1570734106,51,-15.81,35.65,78.94,6.93
Aloleng,15,PH,1570734107,91,16.13,119.78,73.9,0.09
Hastings,100,NZ,1570734108,80,-39.64,176.84,57.34,16.02
Puerto Asis,83,CO,1570734108,94,0.51,-76.5,75.88,1.48
Iquique,75,CL,1570734109,68,-20.22,-70.14,64.4,11.41
Dingle,83,PH,1570734109,87,11.0,122.67,73.18,3.96
Ritchie,61,ZA,1570734109,16,-29.03,24.6,66.2,8.05
Banda Aceh,69,ID,1570734115,93,5.56,95.32,72.82,2.65
Raudeberg,75,NO,1570734115,93,61.99,5.14,52.0,16.11
Ketchikan,90,US,1570734116,81,55.34,-131.65,48.2,8.05
Marzuq,30,YE,1570734116,54,14.4,46.47,76.42,5.93
Deogarh,0,IN,1570734117,90,21.53,84.72,72.28,1.21
Victor Harbor,15,AU,1570734117,76,-35.55,138.62,53.01,7.88
Belaya Gora,100,RU,1570734118,93,68.54,146.19,13.42,7.67
Manokwari,72,ID,1570734119,66,-0.87,134.08,72.64,5.0
Salym,100,RU,1570734119,89,60.06,71.48,45.64,7.1
Kalmunai,100,LK,1570734119,80,7.42,81.82,81.82,20.79
Zhigansk,2,RU,1570734120,85,66.77,123.37,16.84,18.14
Alexandria,52,RO,1570734120,63,43.97,25.33,60.01,1.01
Saint-Denis,27,FR,1570734120,67,48.94,2.36,57.2,6.93
Margate,90,AU,1570734121,70,-43.03,147.26,48.2,5.82
Sun Valley,1,US,1570734121,22,39.6,-119.78,46.99,16.11
Wagar,0,US,1570734122,45,31.44,-87.99,88.0,3.0
Santa Cruz de la Palma,75,ES,1570734122,78,28.68,-17.76,73.4,5.82
Baruun-Urt,66,MN,1570734123,67,46.68,113.28,27.46,9.74
Olinda,90,AU,1570734123,87,-37.84,145.39,51.01,10.29
Jinchang,88,CN,1570734124,43,38.52,102.19,50.32,1.67
Naze,75,NG,1570734124,88,5.43,7.07,78.8,3.36
Tubmanburg,29,LR,1570734125,80,6.87,-10.82,79.84,6.66
Nacozari,0,MX,1570734126,62,25.34,-108.26,93.99,5.99
Aleysk,36,RU,1570734126,63,52.5,82.77,43.3,7.08
Nishihara,90,JP,1570734127,93,35.74,139.53,64.4,4.7
Melilla,75,EC,1570734127,65,-0.8,-80.23,82.4,8.05
Ngaoundere,40,CM,1570734128,94,7.32,13.58,68.0,4.42
Cairns,84,AU,1570734128,94,-16.92,145.77,69.01,7.11
Barcelos,59,BR,1570734128,51,-0.97,-62.93,92.08,2.38
Lavumisa,94,ZA,1570734129,83,-27.31,31.88,60.04,6.6
Ternate,20,PH,1570734130,83,14.29,120.72,80.01,4.63
Manggar,58,ID,1570734130,79,-2.88,108.27,80.38,7.43
Puerto Escondido,75,MX,1570734131,70,15.86,-97.07,86.0,5.24
Montepuez,79,MZ,1570734131,64,-13.13,39.0,76.24,6.67
Ler,35,NO,1570734132,93,63.2,10.3,44.6,9.17
Hami,0,CN,1570734132,23,42.84,93.51,58.78,9.87
Kieta,3,PG,1570734132,79,-6.22,155.63,79.3,5.53
Sola,93,TZ,1570734133,50,-3.17,33.8,75.7,13.5
Alamogordo,1,US,1570734133,23,32.9,-105.96,78.8,14.99
Tsumeb,40,NA,1570734133,22,-19.25,17.72,78.8,5.82
Fort Dix,1,US,1570734134,35,40.03,-74.62,73.4,13.87
Tapejara,0,BR,1570734134,24,-23.73,-52.87,91.18,8.59
Poyarkovo,39,RU,1570734134,91,49.62,128.65,32.14,9.44
Guatire,75,VE,1570734135,78,10.47,-66.54,82.4,4.7
La Reforma,40,MX,1570734135,59,25.08,-108.06,95.0,7.1
San Jose,75,HN,1570734135,55,14.25,-87.96,86.0,6.93
